ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,Total CAT Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium,Avg CAT Loss,Avg Non-CAT Loss,Avg CAT Claims,Avg Non-CAT Claims,Avg Premium 2021,Claim Frequency,Average Claim Severity
90001,174339.07,0.32,884,407,0,0,0,9320,1,40267,1,5070,1,86803,13,1076066,1345,760.8001549186677,67.23702556158017,42.33694810224632,0.0023237800154918666,0.010069713400464756,800.0490706319703,0.012393493415956624,8841.25
90002,167880.4,0.33,1270,614,0,0,0,1686,1,20720,1,542,1,27666,5,1523488,1939,743.1024416135881,14.684713375796179,12.180467091295117,0.0015923566878980893,0.002653927813163482,785.7080969571945,0.004246284501061571,6326.75
90003,177789.87,0.31,1195,535,1,0,0,0,0,128964,2,0,0,49203,6,1537173,1769,822.7053726169844,28.424610051993067,74.50259965337955,0.0011554015020219526,0.0034662045060658577,868.9502543810062,0.00462160600808781,22270.875
90004,635509.87,0.45,962,643,56,0,0,0,0,0,0,0,0,5186,1,4428387,1675,2403.5033112582782,3.1222155328115595,0.0,0.0,0.0006020469596628537,2643.813134328358,0.0006020469596628537,5186.0
90006,316286.33,0.36,220,121,1,0,0,0,0,136044,3,0,0,0,0,482004,358,1257.5601173020527,0.0,398.95601173020526,0.008797653958944282,0.0,1346.3798882681565,0.008797653958944282,45348.0
90007,302147.2,0.32,236,112,0,0,0,0,0,0,0,0,0,5392,1,477398,353,1273.3563218390805,15.494252873563218,0.0,0.0,0.0028735632183908046,1352.4022662889518,0.0028735632183908046,5392.0
90008,360656.55,0.43,1138,838,3,0,0,0,0,816042,3,0,0,0,0,3067919,1997,1443.7060606060606,0.0,412.1424242424242,0.0015151515151515152,0.0,1536.2638958437656,0.0015151515151515152,272014.0
90011,200320.99,0.35,1103,590,0,0,0,0,0,106449,4,0,0,44283,5,1617707,1763,867.336481700118,26.141086186540733,62.83884297520661,0.0023612750885478157,0.0029515938606847697,917.5876347135564,0.005312868949232586,16748.0
90016,261367.04,0.36,1492,819,1,0,0,9320,1,115516,4,0,0,10944,1,2588374,2325,1034.3801903114186,4.73356401384083,53.99480968858131,0.0021626297577854673,0.00043252595155709344,1113.2791397849462,0.0025951557093425604,22630.0
90018,277384.22,0.39,1173,732,2,0,0,0,0,103326,4,869,1,8769,2,2337223,1932,1125.0183534347143,4.598321971683272,54.63817514420556,0.0026219192448872575,0.001048767697954903,1209.7427536231885,0.0036706869428421605,16137.714285714286
90019,398605.67,0.37,1718,996,6,0,0,0,0,58235,2,0,0,0,0,4262858,2759,1425.3227941176472,0.0,21.409926470588236,0.0007352941176470588,0.0,1545.0735773831098,0.0007352941176470588,29117.5
90022,180711.39,0.31,1442,660,0,0,0,5004,1,0,0,0,0,32707,15,1570940,2177,668.6370123691722,15.559942911512845,2.380589914367269,0.0004757373929590866,0.007136060894386299,721.6077170418007,0.007611798287345386,2356.9375
