ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021,Avg Premium 2021
90001.0,174339.07,0.32,884.0,407.0,0.0,0.0,0.0,982193.0,1291.0,9320.0,1,40267.0,1,5070.0,1,86803.0,13.0,1076066.0,1345.0,800.0490706319703
90002.0,167880.4,0.33,1270.0,614.0,0.0,0.0,0.0,1400005.0,1884.0,1686.0,1,20720.0,1,542.0,1,27666.0,5.0,1523488.0,1939.0,785.7080969571945
90003.0,177789.87,0.31,1195.0,535.0,1.0,0.0,0.0,1424103.0,1731.0,0.0,0,128964.0,2,0.0,0,49203.0,6.0,1537173.0,1769.0,868.9502543810062
90004.0,635509.87,0.45,962.0,643.0,56.0,0.0,0.0,3992219.0,1661.0,0.0,0,0.0,0,0.0,0,5186.0,1.0,4428387.0,1675.0,2643.813134328358
90005.0,852256.91,0.44,224.0,127.0,16.0,0.0,0.0,1263229.0,368.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1377640.0,379.0,3634.934036939314
90006.0,316286.33,0.36,220.0,121.0,1.0,0.0,0.0,428828.0,341.0,0.0,0,136044.0,3,0.0,0,0.0,0.0,482004.0,358.0,1346.3798882681565
90007.0,302147.2,0.32,236.0,112.0,0.0,0.0,0.0,443128.0,348.0,0.0,0,0.0,0,0.0,0,5392.0,1.0,477398.0,353.0,1352.4022662889518
90008.0,360656.55,0.43,1138.0,838.0,3.0,0.0,0.0,2858538.0,1980.0,0.0,0,758514.4399999997,3,0.0,0,0.0,0.0,3067919.0,1997.0,1536.2638958437656
90010.0,480030.4,0.3,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1660.0,2.0,830.0
90011.0,200320.99,0.35,1103.0,590.0,0.0,0.0,0.0,1469268.0,1694.0,0.0,0,106449.0,4,0.0,0,44283.0,5.0,1617707.0,1763.0,917.5876347135564
90012.0,271904.32,1.03,35.0,47.0,14.0,12.0,0.0,106512.0,108.0,0.0,0,0.0,0,0.0,0,0.0,0.0,129210.0,122.0,1059.0983606557377
90013.0,146250.0,0.0,1.0,0.0,0.0,0.0,0.0,540.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1966.0,3.0,655.3333333333334
90014.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,476.0,1.0,476.0
90015.0,247434.32,0.4,23.0,15.0,0.0,0.0,0.0,43878.0,38.0,0.0,0,0.0,0,0.0,0,0.0,0.0,49902.0,39.0,1279.5384615384614
90016.0,261367.04,0.36,1492.0,819.0,1.0,0.0,0.0,2391487.0,2312.0,9320.0,1,115516.0,4,0.0,0,10944.0,1.0,2588374.0,2325.0,1113.2791397849462
90017.0,221759.77,0.15,6.0,1.0,0.0,0.0,0.0,7000.0,7.0,0.0,0,0.0,0,0.0,0,0.0,0.0,8382.0,8.0,1047.75
90018.0,277384.22,0.39,1173.0,732.0,2.0,0.0,0.0,2145410.0,1907.0,0.0,0,103326.0,4,869.0,1,8769.0,2.0,2337223.0,1932.0,1209.7427536231885
90019.0,398605.67,0.37,1718.0,996.0,6.0,0.0,0.0,3876878.0,2720.0,0.0,0,58235.0,2,0.0,0,0.0,0.0,4262858.0,2759.0,1545.0735773831098
90020.0,1119562.8495999984,0.62,176.0,122.0,47.0,0.0,0.0,1850338.0,345.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2095459.0,356.0,5886.1207865168535
90021.0,444785.86,0.21,3.0,1.0,0.0,0.0,0.0,3800.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,4195.0,4.0,1048.75
90022.0,180711.39,0.31,1442.0,660.0,0.0,0.0,0.0,1405475.0,2102.0,5004.0,1,0.0,0,0.0,0,32707.0,15.0,1570940.0,2177.0,721.6077170418007
90023.0,179507.64,0.38,601.0,375.0,0.0,0.0,0.0,712158.0,976.0,0.0,0,0.0,0,0.0,0,0.0,0.0,768033.0,979.0,784.5076608784474
90024.0,937988.17,0.64,628.0,507.0,114.0,26.0,3.0,4832441.0,1278.0,0.0,0,5268.0,1,0.0,0,0.0,0.0,5376261.0,1295.0,4151.552895752896
90025.0,455164.12,0.38,618.0,336.0,17.0,0.0,0.0,1565225.0,971.0,8400.0,1,188330.0,2,0.0,0,0.0,0.0,1695726.0,973.0,1742.781089414183
90026.0,316493.67,0.5,1462.0,979.0,96.0,43.0,0.0,3155568.0,2579.0,0.0,0,153783.0,2,0.0,0,0.0,0.0,3503247.0,2603.0,1345.84978870534
90027.0,609120.69,0.81,937.0,914.0,276.0,99.0,10.0,5552217.0,2237.0,0.0,0,0.0,0,0.0,0,0.0,0.0,6283065.0,2276.0,2760.573374340949
90028.0,359048.42,0.41,92.0,51.0,4.0,0.0,0.0,190224.0,148.0,0.0,0,0.0,0,0.0,0,0.0,0.0,211533.0,145.0,1458.848275862069
90029.0,286107.63,0.38,314.0,171.0,9.0,0.0,0.0,591873.0,494.0,0.0,0,0.0,0,0.0,0,0.0,0.0,646803.0,505.0,1280.7980198019802
90031.0,225871.07,0.96,451.0,566.0,152.0,125.0,1.0,1183865.0,1294.0,0.0,0,0.0,0,0.0,0,3320.0,1.0,1348805.0,1339.0,1007.3226288274832
90032.0,217277.07,0.73,1266.0,1212.0,264.0,109.0,1.0,2277484.0,2852.0,0.0,0,0.0,0,0.0,0,8412.0,2.0,2521971.0,2909.0,866.954623581987
90033.0,202478.63,0.39,445.0,287.0,0.0,0.0,0.0,568162.0,732.0,0.0,0,0.0,0,0.0,0,0.0,0.0,645129.0,765.0,843.3058823529411
90034.0,392993.98,0.31,1522.0,654.0,10.0,0.0,0.0,3070017.0,2186.0,0.0,0,38564.0,2,0.0,0,0.0,0.0,3375416.0,2193.0,1539.1773825809394
90035.0,497161.79,0.36,1222.0,619.0,23.0,0.0,0.0,3359372.0,1864.0,0.0,0,11794.0,2,0.0,0,0.0,0.0,3694047.0,1894.0,1950.394403379092
90036.0,593035.7,0.37,936.0,458.0,32.0,0.0,0.0,3484725.0,1426.0,0.0,0,2220.0,1,0.0,0,0.0,0.0,3830474.0,1454.0,2634.43878954608
90037.0,214377.3,0.36,819.0,455.0,0.0,0.0,0.0,1202501.0,1275.0,0.0,0,60084.0,1,0.0,0,29510.0,5.0,1315540.0,1308.0,1005.7645259938838
90038.0,361727.94,0.42,207.0,142.0,4.0,0.0,0.0,497305.0,353.0,0.0,0,0.0,0,0.0,0,0.0,0.0,565535.0,371.0,1524.3530997304583
90039.0,341797.2,0.45,1578.0,833.0,105.0,37.0,2.0,3184720.0,2555.0,0.0,0,3184.0,1,0.0,0,0.0,0.0,3595364.0,2635.0,1364.4645161290323
90040.0,181982.41,0.34,382.0,199.0,1.0,0.0,0.0,427101.0,581.0,0.0,0,70910.0,2,0.0,0,29846.0,5.0,446281.0,587.0,760.274275979557
90041.0,307585.61,0.66,1346.0,1044.0,259.0,75.0,0.0,3015711.0,2724.0,0.0,0,128460.0,2,0.0,0,0.0,0.0,3373289.0,2756.0,1223.9800435413642
90042.0,251533.26,0.72,1755.0,1443.0,421.0,138.0,2.0,3525909.0,3759.0,0.0,0,60561.0,3,0.0,0,0.0,0.0,3955671.0,3833.0,1032.0039133837724
90043.0,287184.99,0.34,2556.0,1344.0,0.0,0.0,0.0,4193883.0,3900.0,0.0,0,262237.0,3,0.0,0,18130.0,2.0,4595647.0,3960.0,1160.5169191919192
90044.0,195254.08,0.34,2086.0,1096.0,0.0,0.0,0.0,2703630.0,3182.0,0.0,0,233651.0,5,0.0,0,60780.0,4.0,2963710.0,3246.0,913.0345040049291
90045.0,365704.67,0.43,2404.0,1795.0,9.0,1.0,0.0,4798631.0,4209.0,0.0,0,48709.0,2,0.0,0,0.0,0.0,5310175.0,4230.0,1255.3605200945626
90046.0,589022.61,1.8,477.0,823.0,425.0,905.0,154.0,8793568.0,2785.0,0.0,0,123568.0,3,0.0,0,16507.0,1.0,9545195.0,2804.0,3404.1351640513553
90047.0,213979.46,0.32,3031.0,1410.0,0.0,0.0,0.0,3791085.0,4441.0,0.0,0,197656.0,6,0.0,0,8696.0,1.0,4157876.0,4503.0,923.3568731956474
90048.0,546054.0,0.45,822.0,549.0,45.0,1.0,0.0,2962886.0,1418.0,0.0,0,23151.0,1,0.0,0,0.0,0.0,3194014.0,1386.0,2304.4834054834055
90049.0,1099519.01,1.56,540.0,1641.0,739.0,732.0,161.0,12270612.789999997,3813.0,0.0,0,110159.0,2,0.0,0,0.0,0.0,14027102.329999998,3915.0,3582.9124725415068
90056.0,468492.74,0.36,684.0,385.0,3.0,0.0,0.0,1822814.0,1073.0,0.0,0,1260.0,1,0.0,0,0.0,0.0,1958855.0,1053.0,1860.261158594492
90057.0,277841.2,0.26,60.0,21.0,0.0,0.0,0.0,90627.0,81.0,0.0,0,0.0,0,0.0,0,0.0,0.0,87297.0,73.0,1195.849315068493
90058.0,154180.46,0.34,14.0,7.0,0.0,0.0,0.0,13486.0,21.0,0.0,0,0.0,0,0.0,0,0.0,0.0,15490.0,22.0,704.0909090909091
90059.0,178100.61,0.33,1324.0,641.0,0.0,0.0,0.0,1482762.0,1965.0,0.0,0,113601.0,1,0.0,0,15739.0,3.0,1640917.0,2002.0,819.6388611388611
90061.0,189820.8,0.31,835.0,379.0,0.0,0.0,0.0,931164.0,1214.0,0.0,0,0.0,0,0.0,0,14931.0,3.0,1033189.0,1230.0,839.9910569105691
90062.0,228534.93,0.36,1056.0,585.0,0.0,0.0,0.0,1553312.0,1641.0,0.0,0,8428.0,1,0.0,0,21208.0,3.0,1729587.0,1699.0,1018.0029429075927
90063.0,192826.39,0.32,1208.0,576.0,0.0,0.0,0.0,1299519.0,1783.0,0.0,0,0.0,0,0.0,0,12789.0,2.0,1437173.0,1840.0,781.0722826086957
90064.0,495892.49,0.41,1806.0,1079.0,66.0,0.0,0.0,4979431.0,2952.0,0.0,0,460000.0,2,17749.0,1,0.0,0.0,5520408.0,2943.0,1875.7757390417942
90065.0,292377.91,1.11,1444.0,1533.0,448.0,694.0,20.0,4462071.0,4139.0,0.0,0,474674.0,6,0.0,0,3411.0,1.0,5069473.0,4223.0,1200.4435235614492
90066.0,376392.66,0.35,3034.0,1581.0,12.0,0.0,0.0,5616068.0,4627.0,0.0,0,9450.0,1,0.0,0,0.0,0.0,6203895.0,4658.0,1331.8795620437957
90067.0,1119562.8495999984,1.07,2.0,4.0,3.0,0.0,0.0,77084.0,9.0,0.0,0,0.0,0,0.0,0,0.0,0.0,96562.0,10.0,9656.2
90068.0,581838.6,1.79,394.0,1057.0,702.0,980.0,88.0,9472131.0,3220.0,0.0,0,56900.0,1,0.0,0,0.0,0.0,10695093.0,3303.0,3237.993642143506
